% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.127214	1	2	2	2.17768e-13	459.096	0
0.127214	1	3	1	6.89853e-14	145.434	0
0.128214	1	1	3	3.22391e-14	67.9661	0
0.128214	1	2	2	2.17775e-13	459.11	0
0.128214	1	3	1	6.89776e-14	145.418	0
0.129214	1	1	3	3.22399e-14	67.9678	0
0.129214	1	2	2	2.17781e-13	459.123	0
0.129214	1	3	1	6.897e-14	145.401	0
0.130214	1	1	3	3.22408e-14	67.9695	0
0.130214	1	2	2	2.17788e-13	459.137	0
0.130214	1	3	1	6.89623e-14	145.385	0
0.131214	1	1	3	3.22416e-14	67.9712	0
0.131214	1	2	2	2.17794e-13	459.151	0
0.131214	1	3	1	6.89546e-14	145.369	0
0.132214	1	1	3	3.22424e-14	67.9729	0
0.132214	1	2	2	2.17801e-13	459.164	0
0.132214	1	3	1	6.89469e-14	145.353	0
0.133214	1	1	3	3.22432e-14	67.9746	0
0.133214	1	2	2	2.17807e-13	459.178	0
0.133214	1	3	1	6.89393e-14	145.337	0
0.134214	1	1	3	3.2244e-14	67.9763	0
0.134214	1	2	2	2.17814e-13	459.192	0
0.134214	1	3	1	6.89316e-14	145.321	0
0.135214	1	1	3	3.22448e-14	67.978	0
0.135214	1	2	2	2.1782e-13	459.205	0
0.135214	1	3	1	6.89239e-14	145.304	0
0.136214	1	1	3	3.22456e-14	67.9796	0
0.136214	1	2	2	2.17827e-13	459.219	0
0.136214	1	3	1	6.89162e-14	145.288	0
0.137214	1	1	3	3.22464e-14	67.9813	0
0.137214	1	2	2	2.17833e-13	459.233	0
0.137214	1	3	1	6.89086e-14	145.272	0
0.138214	1	1	3	3.22472e-14	67.983	0
0.138214	1	2	2	2.1784e-13	459.246	0
0.138214	1	3	1	6.89009e-14	145.256	0
0.139214	1	1	3	3.2248e-14	67.9847	0
0.139214	1	2	2	2.17846e-13	459.26	0
0.139214	1	3	1	6.88932e-14	145.24	0
0.140214	1	1	3	3.22488e-14	67.9864	0
0.140214	1	2	2	2.17853e-13	459.274	0
0.140214	1	3	1	6.88856e-14	145.224	0
0.141214	1	1	3	3.22496e-14	67.9881	0
0.141214	1	2	2	2.17859e-13	459.287	0
0.141214	1	3	1	6.88779e-14	145.207	0
0.142214	1	1	3	3.22504e-14	67.9898	0
0.142214	1	2	2	2.17865e-13	459.301	0
0.142214	1	3	1	6.88702e-14	145.191	0
0.143214	1	1	3	3.22512e-14	67.9915	0
0.143214	1	2	2	2.17872e-13	459.314	0
0.143214	1	3	1	6.88626e-14	145.175	0
0.144214	1	1	3	3.2252e-14	67.9932	0
0.144214	1	2	2	2.17878e-13	459.328	0
0.144214	1	3	1	6.88549e-14	145.159	0
0.145214	1	1	3	3.22528e-14	67.9949	0
0.145214	1	2	2	2.17885e-13	459.342	0
0.145214	1	3	1	6.88473e-14	145.143	0
0.146214	1	1	3	3.22536e-14	67.9966	0
0.146214	1	2	2	2.17891e-13	459.355	0
0.146214	1	3	1	6.88396e-14	145.127	0
0.147214	1	1	3	3.22544e-14	67.9983	0
0.147214	1	2	2	2.17898e-13	459.369	0
0.147214	1	3	1	6.88319e-14	145.11	0
0.148214	1	1	3	3.22552e-14	68	0
0.148214	1	2	2	2.17904e-13	459.382	0
0.148214	1	3	1	6.88243e-14	145.094	0
0.149214	1	1	3	3.2256e-14	68.0017	0
0.149214	1	2	2	2.17911e-13	459.396	0
0.149214	1	3	1	6.88166e-14	145.078	0
0.150214	1	1	3	3.22568e-14	68.0034	0
0.150214	1	2	2	2.17917e-13	459.41	0
0.150214	1	3	1	6.8809e-14	145.062	0
0.151214	1	1	3	3.22577e-14	68.0051	0
0.151214	1	2	2	2.17924e-13	459.423	0
0.151214	1	3	1	6.88013e-14	145.046	0
0.152214	1	1	3	3.22585e-14	68.0068	0
0.152214	1	2	2	2.1793e-13	459.437	0
0.152214	1	3	1	6.87937e-14	145.03	0
0.153214	1	1	3	3.22593e-14	68.0085	0
